,2003,2004,2005,2006,2007,2008,2009,2010
ENERO,91.1,104.2,102.7,105.7,110.5,112.9,118.5,124.2
FEBRERO,95.2,101.5,102.4,102.1,114.2,113.9,125.2,120.9
MARZO,103.5,113.9,106.4,106.3,121.3,123.7,136.3,131.4
ABRIL,97,97.4,98.3,115.8,112.4,114.9,114.8,114.4
MAYO,102.1,112,108.4,111.6,117.8,121.5,133.1,131.9
JUNIO,105.5,112.7,106.2,114.3,123.8,126.1,132.7,129.4
JULIO,102.7,106.2,110.4,119.5,126.5,128.3,128.5,128
AGOSTO,64.2,67.4,66.4,71.7,76.5,81.1,86.9,89.7
SEPTIEMBRE,104.9,105.6,104.8,115.8,120,125,125.1,121.5
OCTUBRE,104.4,108.1,114.8,125,123.7,123.4,126.8,130.6
NOVIEMBRE,109.2,110.4,108.5,115.5,122,128.4,133.3,127
DICIEMBRE,99.9,95.2,96.8,106.9,112,118,112.3,107.4
